"aircraft","aircraftLabel","passengers","image","article"
"http://www.wikidata.org/entity/Q2566864","White Dwarf (dirigible)","","http://commons.wikimedia.org/wiki/Special:FilePath/White%20Dwarf-Single%20Person%20Blimp-02.jpg",""
"http://www.wikidata.org/entity/Q3567903","Wibault 280","","http://commons.wikimedia.org/wiki/Special:FilePath/Wibault283t%20mae.jpg",""
"http://www.wikidata.org/entity/Q2479713","Wibault 7","","http://commons.wikimedia.org/wiki/Special:FilePath/Wibault%2072.jpg",""
"http://www.wikidata.org/entity/Q1463442","WM–16 Budapest","","http://commons.wikimedia.org/wiki/Special:FilePath/Weiss%20Manfr%C3%A9d%20WM-16%20-%20%28Fokker%20C.VD%29%20t%C3%ADpus%C3%BA%20rep%C3%BCl%C5%91g%C3%A9p.%20Fortepan%208607.jpg",""
"http://www.wikidata.org/entity/Q2908565","XP-15","","http://commons.wikimedia.org/wiki/Special:FilePath/Boeing%20XP-15%20060906-F-1234P-001.jpg",""
"http://www.wikidata.org/entity/Q2908566","XP-9","","http://commons.wikimedia.org/wiki/Special:FilePath/Boeing%20XP-9%20side%20view.jpg",""
"http://www.wikidata.org/entity/Q1349098","Yak-36","","http://commons.wikimedia.org/wiki/Special:FilePath/Jak-36.jpg",""
"http://www.wikidata.org/entity/Q614717","Yokosuka MXY5","","http://commons.wikimedia.org/wiki/Special:FilePath/Yokosuka-MXY5%20glider%201.jpg",""
"http://www.wikidata.org/entity/Q3575253","Zeppy","","http://commons.wikimedia.org/wiki/Special:FilePath/Zeppy%20Pilot%C3%A9%20par%20Stephane%20Belgrand%20Rousson%20%C3%A0%20Villefranche%20sur%20Mer.jpg",""
"http://www.wikidata.org/entity/Q217911","Zmaj Fizir FN","","http://commons.wikimedia.org/wiki/Special:FilePath/Fizir%20FN.jpg",""
