"painting","paintingLabel","artist","artistLabel","year","image","article","artistArticle"
"http://www.wikidata.org/entity/Q56702812","Italian fisherman","http://www.wikidata.org/entity/Q164735","Johan Christian Dahl","1821-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Johan%20Christian%20Dahl%20-%20Italian%20fisherman%20-%20Fiskeren%20-%20Italiensk%20fisker%20-%20KODE%20Art%20Museums%20and%20Composer%20Homes%20-%20RMS.M.00062.jpg","","https://no.wikipedia.org/wiki/J.C._Dahl"
"http://www.wikidata.org/entity/Q56706843","Italian Peasant Woman","http://www.wikidata.org/entity/Q164735","Johan Christian Dahl","1821-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Johan%20Christian%20Dahl%20-%20Italian%20Peasant%20Woman%20-%20Italiensk%20bondekone%20-%20KODE%20Art%20Museums%20and%20Composer%20Homes%20-%20BB.M.00893.jpg","","https://no.wikipedia.org/wiki/J.C._Dahl"
"http://www.wikidata.org/entity/Q127107853","Italian shepherd with dog","http://www.wikidata.org/entity/Q164735","Johan Christian Dahl","1821-04-06T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Johan%20Christian%20Dahl%20-%20Italian%20shepherd%20with%20dog%20-%20Bang%20304.jpg","","https://no.wikipedia.org/wiki/J.C._Dahl"
"http://www.wikidata.org/entity/Q114259593","Jacob Christian Finckenhagen","http://www.wikidata.org/entity/Q2610236","Johannes Flintoe","1830-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Flintoe%20-%20Jacob%20Christian%20Finckenhagen%20-%20Norsk%20portrettarkiv%20-%20Riksantikvaren%20-%20F000147%20%28cropped%29.jpg","","https://no.wikipedia.org/wiki/Johannes_Flintoe"
"http://www.wikidata.org/entity/Q114244136","Jacob Friedrich Schilling","http://www.wikidata.org/entity/Q2610236","Johannes Flintoe","1825-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Flintoe%20-%20Jacob%20Friedrich%20Schilling%20-%20Norsk%20portrettarkiv%2C%20Riksantikvaren%20-%20S000173%20%28cropped%29.jpg","","https://no.wikipedia.org/wiki/Johannes_Flintoe"
"http://www.wikidata.org/entity/Q114245269","Jacob Aall","http://www.wikidata.org/entity/Q2610236","Johannes Flintoe","1828-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Johannes%20Flintoe%20-%20Jacob%20Aall%20-%20Norsk%20portrettarkiv%20-%20Riksantikvaren%20-%20%C3%85000049.jpg","","https://no.wikipedia.org/wiki/Johannes_Flintoe"
"http://www.wikidata.org/entity/Q81646605","Jens Mathias Pram Kaurin","http://www.wikidata.org/entity/Q5601154","Jacob Calmeyer","1827-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Kaurin%20%284525119431%29.jpg","","https://no.wikipedia.org/wiki/Jacob_Calmeyer"
"http://www.wikidata.org/entity/Q96938632","Joachim Christian Frich","http://www.wikidata.org/entity/Q365544","Adolph Tidemand","1835-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Adolph%20Tidemand%20-%20Joachim%20Christian%20Frich%20-%20Norsk%20portrettarkiv%20-%20Riksantikvaren%20-%20F000420%20%28cropped%29.jpg","","https://no.wikipedia.org/wiki/Adolph_Tidemand"
"http://www.wikidata.org/entity/Q77299292","Johan Collett","http://www.wikidata.org/entity/Q1805976","Jacob Munch","1817-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Amtmann%20Johan%20Collett.png","","https://no.wikipedia.org/wiki/Jacob_Munch"
"http://www.wikidata.org/entity/Q116693256","Johan Storm Munch","http://www.wikidata.org/entity/Q1805976","Jacob Munch","1821-01-01T00:00:00Z","http://commons.wikimedia.org/wiki/Special:FilePath/Jacob%20Munch%20-%20Johan%20Storm%20Munch%20-%20Norsk%20portrettarkiv%20-%20Riksantikvaren%20-%20M000470%20%28cropped%29.jpg","","https://no.wikipedia.org/wiki/Jacob_Munch"
